gen, ranking_float_twopoint_best, ranking_float_twopoint_ave
 546,     0.63, 0.567757
 547,     0.63, 0.569452
 548,     0.63, 0.572821
 549,     0.63, 0.569534
 550,     0.63, 0.567199
 551,     0.63, 0.563532
 552,     0.63,   0.5676
 553,     0.63, 0.561136
 554,     0.63, 0.569325
 555,     0.63, 0.569094
 556,     0.63, 0.564815
 557,     0.63, 0.568274
 558,     0.63, 0.569214
 559,     0.63, 0.566231
 560,     0.63, 0.565063
 561,     0.63, 0.568772
 562,     0.63, 0.566154
 563,     0.63, 0.566237
 564,     0.63, 0.562017
 565,     0.63, 0.563378
 566,     0.63, 0.565155
 567,     0.63, 0.570817
 568,     0.63, 0.564726
 569,     0.63, 0.568243
 570,     0.63, 0.572499
 571,     0.63, 0.570013
 572,     0.63, 0.567926
 573,     0.63, 0.566085
 574,     0.63, 0.569076
 575,     0.63, 0.570985
 576,     0.63, 0.567046
 577,     0.63, 0.563878
 578,     0.63, 0.569391
 579,     0.63, 0.568771
 580,     0.63, 0.565894
 581,     0.63, 0.567198
 582,     0.63, 0.564086
 583,     0.63, 0.563827
 584,     0.63, 0.566899
 585,     0.63, 0.570456
 586,     0.63, 0.569056
 587,     0.63, 0.567074
 588,     0.63, 0.569526
 589,     0.63, 0.567735
 590,     0.63, 0.569573
 591,     0.63, 0.563741
 592,     0.63, 0.562765
 593,     0.63, 0.566198
 594,     0.63, 0.563618
 595,     0.63,  0.56673
 596,     0.63,  0.56967
 597,     0.63, 0.566043
 598,     0.63, 0.566346
 599,     0.63, 0.565278
 600,     0.63, 0.569073
 601,     0.63, 0.570146
 602,     0.63, 0.568518
 603,     0.63, 0.571562
 604,     0.63,  0.56521
 605,     0.63, 0.563793
 606,   0.6303, 0.570574
 607,   0.6303, 0.567239
 608,   0.6303, 0.566922
 609,   0.6303, 0.567062
 610,   0.6303, 0.565611
 611,   0.6303,  0.56753
 612,   0.6303, 0.568843
 613,   0.6303, 0.565217
 614,   0.6303, 0.565656
 615,   0.6303, 0.570171
 616,   0.6303,  0.56562
 617,   0.6303, 0.562169
 618,   0.6303, 0.563452
 619,   0.6303,  0.57153
 620,   0.6303, 0.564854
 621,   0.6303, 0.564334
 622,   0.6303, 0.562815
 623,   0.6303, 0.565017
 624,   0.6303, 0.563982
 625,   0.6303, 0.565439
 626,   0.6303, 0.568776
 627,   0.6303, 0.570387
 628,   0.6303, 0.566804
 629,   0.6303, 0.566889
 630,   0.6303, 0.566202
 631,   0.6303, 0.564702
 632,   0.6303,  0.56228
 633,   0.6303, 0.558919
 634,   0.6303, 0.559905
 635,   0.6303, 0.564346
 636,   0.6303, 0.564886
 637,   0.6303, 0.568206
 638,   0.6303, 0.569264
 639,   0.6303, 0.568168
 640,   0.6303,  0.57065
 641,   0.6303, 0.570415
 642,   0.6303, 0.570026
 643,   0.6303, 0.569238
 644,   0.6303, 0.561255
 645,   0.6303, 0.565437
 646,   0.6303, 0.561259
 647,   0.6303, 0.565193
 648,   0.6303, 0.558919
 649,   0.6303, 0.563507
 650,   0.6303, 0.565453
 651,   0.6303, 0.570543
 652,   0.6303,  0.57346
 653,   0.6303, 0.572151
 654,   0.6303, 0.567705
 655,   0.6303, 0.564879
 656,   0.6303, 0.566305
 657,   0.6303, 0.566157
 658,   0.6303, 0.568971
 659,   0.6303, 0.560611
 660,   0.6303, 0.570606
 661,   0.6303, 0.569893
 662,   0.6303, 0.565773
 663,   0.6303, 0.565768
 664,   0.6303, 0.565941
 665,   0.6303,  0.56341
 666,   0.6303, 0.565216
 667,   0.6303, 0.559698
 668,   0.6303, 0.562942
 669,   0.6303, 0.564482
 670,   0.6303, 0.570781
 671,   0.6305, 0.566429
 672,   0.6305, 0.565232
 673,   0.6305, 0.564017
 674,   0.6305, 0.569389
 675,   0.6305, 0.565031
 676,   0.6305,  0.56853
 677,   0.6307, 0.565027
 678,   0.6307, 0.564106
 679,   0.6307,  0.56265
 680,   0.6307, 0.566609
 681,   0.6307, 0.568302
 682,   0.6307, 0.565167
 683,   0.6307, 0.561984
 684,   0.6307, 0.568051
 685,   0.6307, 0.568816
 686,   0.6307, 0.567936
 687,   0.6307, 0.569839
 688,   0.6307, 0.566836
 689,   0.6307, 0.563222
 690,   0.6307, 0.565219
 691,   0.6307, 0.565907
 692,   0.6307, 0.565677
 693,   0.6307, 0.565081
 694,   0.6307, 0.564162
 695,   0.6307, 0.564544
 696,   0.6307, 0.563014
 697,   0.6307, 0.564762
 698,   0.6307, 0.557129
 699,   0.6307, 0.561524
 700,   0.6307, 0.568428
 701,   0.6307, 0.563613
 702,   0.6307, 0.569096
 703,   0.6307, 0.564598
 704,   0.6307, 0.568947
 705,   0.6307, 0.570573
 706,   0.6307, 0.568862
 707,   0.6307, 0.562786
 708,   0.6307, 0.562653
 709,   0.6307, 0.568556
 710,   0.6307, 0.567446
 711,   0.6307, 0.566359
 712,   0.6307, 0.565246
 713,   0.6307, 0.564916
 714,   0.6307, 0.567928
 715,   0.6307, 0.568505
 716,   0.6307, 0.566977
 717,   0.6307,  0.56747
 718,   0.6307, 0.570645
 719,   0.6307, 0.563359
 720,   0.6307, 0.563151
 721,   0.6307, 0.562923
 722,   0.6307, 0.565426
 723,   0.6307, 0.570072
 724,   0.6307,  0.57207
 725,   0.6307, 0.569941
 726,   0.6307, 0.569246
 727,   0.6307, 0.566963
 728,   0.6307, 0.567325
 729,   0.6307, 0.569096
 730,   0.6307, 0.568089
 731,   0.6307, 0.566209
 732,   0.6307, 0.569979
 733,   0.6307,   0.5661
 734,   0.6307, 0.569676
 735,   0.6307, 0.566776
 736,   0.6307, 0.565111
 737,   0.6307, 0.561697
 738,   0.6307, 0.567427
 739,   0.6307, 0.569668
 740,   0.6307, 0.564282
 741,   0.6307, 0.570215
 742,   0.6307, 0.571141
 743,   0.6307, 0.569021
 744,   0.6307, 0.567134
 745,   0.6307, 0.568111
 746,   0.6307, 0.566396
 747,   0.6307, 0.566606
 748,   0.6307, 0.566461
 749,   0.6307, 0.570066
 750,   0.6307, 0.562973
 751,   0.6307, 0.569319
 752,   0.6307,  0.56797
 753,   0.6307, 0.562431
 754,   0.6307, 0.565579
 755,   0.6307, 0.568927
 756,   0.6307, 0.565893
 757,   0.6307, 0.566132
 758,   0.6307, 0.563236
 759,   0.6307, 0.565051
 760,   0.6307, 0.565036
 761,   0.6307, 0.565723
 762,   0.6307, 0.564892
 763,   0.6307, 0.562775
 764,   0.6307, 0.563129
 765,   0.6307,  0.56424
 766,   0.6307, 0.569277
 767,   0.6307, 0.566634
 768,   0.6307, 0.570001
 769,   0.6307, 0.566091
 770,   0.6307, 0.568462
 771,   0.6307, 0.567439
 772,   0.6307, 0.567468
 773,   0.6307, 0.564239
 774,   0.6307, 0.564493
 775,   0.6307,  0.56466
 776,   0.6307, 0.563761
 777,   0.6307, 0.563681
 778,   0.6307, 0.566644
 779,   0.6307, 0.564058
 780,   0.6308,  0.55954
 781,   0.6308, 0.565558
 782,   0.6308, 0.567698
 783,   0.6308, 0.566765
 784,   0.6308, 0.564849
 785,   0.6308, 0.569609
 786,   0.6315, 0.559108
 787,   0.6315, 0.563788
 788,   0.6315, 0.565572
 789,   0.6315, 0.566326
 790,   0.6316,  0.56291
 791,   0.6316, 0.564284
 792,   0.6316, 0.572225
 793,   0.6316, 0.567317
 794,   0.6316, 0.560188
 795,   0.6316, 0.564183
 796,   0.6316,  0.56765
 797,   0.6316, 0.568309
 798,   0.6316, 0.566226
 799,   0.6316,  0.56638
 800,   0.6316, 0.564647
 801,   0.6318, 0.569055
 802,   0.6318, 0.562833
 803,   0.6318, 0.561212
 804,   0.6318, 0.563191
 805,   0.6318, 0.566801
 806,   0.6318, 0.563351
 807,   0.6318, 0.572766
 808,   0.6318, 0.568707
 809,   0.6318,  0.56361
 810,   0.6318, 0.562851
 811,   0.6318, 0.564753
 812,   0.6318, 0.562096
 813,   0.6318, 0.562706
 814,   0.6331, 0.560863
 815,   0.6331,  0.56118
 816,   0.6331, 0.560194
 817,   0.6331, 0.566123
 818,   0.6331, 0.569201
 819,   0.6331, 0.565188
 820,   0.6331, 0.565768
 821,   0.6331, 0.563657
 822,   0.6331, 0.567128
 823,   0.6331, 0.563613
 824,   0.6331,  0.56603
 825,   0.6331, 0.566786
 826,   0.6333, 0.569381
 827,   0.6343, 0.567004
 828,   0.6343, 0.565014
 829,   0.6343, 0.567788
 830,   0.6343, 0.568631
 831,   0.6343, 0.565398
