gen, roulette_scalar_uniform_best, roulette_scalar_uniform_ave
 724,   0.6026, 0.404656
 725,   0.6026, 0.410018
 726,   0.6026, 0.408213
 727,   0.6026, 0.409278
 728,   0.6026, 0.405672
 729,   0.6026, 0.408454
 730,   0.6026, 0.410238
 731,   0.6186, 0.407914
 732,   0.6186, 0.414745
 733,   0.6186, 0.415517
 734,   0.6186, 0.418477
 735,   0.6077, 0.417606
 736,   0.6077, 0.414847
 737,   0.6077, 0.413396
 738,   0.6077,  0.41162
 739,   0.6077, 0.415826
 740,   0.6077, 0.419051
 741,   0.6077, 0.414739
 742,   0.6077,  0.41734
 743,   0.6077, 0.414775
 744,   0.6077, 0.419028
 745,   0.6077, 0.419602
 746,   0.6077, 0.421752
 747,   0.6077,  0.42169
 748,   0.6077, 0.421612
 749,   0.6077,  0.41976
 750,   0.6077, 0.421968
 751,   0.6077, 0.427231
 752,   0.6077, 0.426246
 753,   0.6077,  0.42805
 754,   0.6077, 0.425218
 755,   0.6077,  0.41947
 756,   0.6077, 0.423186
 757,   0.6077, 0.422879
 758,   0.6077, 0.418135
 759,   0.6226, 0.418873
 760,   0.6226, 0.417729
 761,   0.6226, 0.418542
 762,   0.6226, 0.416723
 763,   0.6226, 0.410824
 764,   0.6226, 0.411947
 765,   0.6226, 0.408032
 766,   0.6226, 0.414604
 767,   0.6226, 0.415269
 768,   0.6226, 0.417393
 769,   0.6226, 0.417711
 770,   0.6226, 0.419148
 771,   0.6226, 0.414559
 772,   0.6226, 0.407228
 773,   0.6226, 0.411353
 774,   0.6226, 0.409617
 775,   0.6226, 0.415928
 776,   0.6226, 0.420664
 777,   0.6226, 0.419212
 778,   0.6226,  0.41934
 779,   0.6226, 0.415228
 780,   0.6226, 0.426019
 781,   0.6226, 0.426318
 782,   0.6226, 0.423708
 783,   0.6226, 0.432199
 784,   0.6226, 0.429104
 785,   0.6226, 0.427143
 786,   0.6226, 0.428944
 787,   0.6226, 0.432498
 788,   0.6226, 0.428301
 789,   0.6226, 0.437396
 790,   0.6226, 0.437734
 791,   0.6226, 0.434411
 792,   0.6226, 0.436953
 793,   0.6226, 0.432191
 794,   0.6226,  0.43328
 795,   0.6226, 0.429495
 796,   0.6226, 0.422404
 797,   0.6226, 0.427267
 798,   0.6226, 0.424319
 799,   0.6232, 0.430491
 800,   0.6232, 0.426912
 801,   0.6232, 0.427623
 802,   0.6232, 0.421603
 803,   0.6232, 0.424189
 804,   0.6232,  0.43322
 805,   0.6232, 0.429229
 806,   0.6232, 0.427797
 807,   0.6232, 0.432084
 808,   0.6232, 0.423469
 809,   0.6232, 0.421595
 810,   0.6232, 0.427172
 811,   0.6232, 0.430456
 812,   0.6232, 0.429981
 813,   0.6232, 0.433309
 814,   0.6232, 0.433845
 815,   0.6232, 0.430557
 816,   0.6232, 0.429808
 817,   0.6232, 0.434753
 818,   0.6232, 0.428675
 819,   0.6232, 0.428669
 820,   0.6232, 0.431458
 821,   0.6232, 0.426416
 822,   0.6232, 0.425302
 823,   0.6232, 0.427051
 824,   0.6232, 0.427792
 825,   0.6232, 0.423583
 826,   0.6232, 0.420678
 827,   0.6232, 0.420234
 828,   0.6232, 0.419956
 829,   0.6232, 0.419636
 830,   0.6232,  0.42309
 831,   0.6232, 0.429565
 832,   0.6232, 0.429953
 833,   0.6232, 0.431559
 834,   0.6232, 0.432925
 835,   0.6232, 0.431128
 836,   0.6232, 0.427954
 837,   0.6232, 0.433157
 838,   0.6232, 0.426063
 839,   0.6232, 0.435161
 840,   0.6232, 0.433542
 841,   0.6232, 0.432758
 842,   0.6232, 0.433922
 843,   0.6232, 0.437713
 844,   0.6232, 0.435333
 845,   0.6232, 0.426697
 846,   0.6232, 0.426592
 847,   0.6232, 0.431183
 848,   0.6232, 0.438645
 849,   0.6232, 0.438756
 850,   0.6232, 0.429651
 851,   0.6232, 0.431519
 852,   0.6232, 0.430788
 853,   0.6232, 0.430445
 854,   0.6232,  0.43307
 855,   0.6232, 0.431041
 856,   0.6232,  0.43486
