gen, tournament_scalar_onepoint_best, tournament_scalar_onepoint_ave
 901,   0.6557, 0.609433
 902,   0.6557, 0.613668
 903,   0.6557, 0.612652
 904,   0.6544, 0.613889
 905,   0.6544, 0.616319
 906,   0.6544, 0.607854
 907,   0.6544, 0.608063
 908,   0.6544, 0.608194
 909,   0.6544, 0.614281
 910,   0.6544, 0.610368
 911,   0.6544, 0.610572
 912,   0.6544, 0.605695
 913,   0.6544, 0.610977
 914,   0.6544, 0.611339
 915,   0.6544, 0.608542
 916,   0.6544, 0.614489
 917,   0.6544, 0.616136
 918,   0.6544,   0.6097
 919,   0.6544,  0.60732
 920,   0.6544, 0.609109
 921,   0.6544,  0.60854
 922,   0.6544, 0.610487
 923,   0.6544, 0.613072
 924,   0.6544, 0.609966
 925,   0.6544, 0.609318
 926,   0.6544, 0.609481
